Wall time,Step,Value
1699109395.1742198,1550,440.3399353027344
1699109428.7315392,1560,614.8031616210938
1699109464.291968,1570,565.7674560546875
1699109498.7000737,1580,508.807861328125
1699109537.1092503,1590,617.7448120117188
1699109571.276753,1600,639.7341918945312
1699109609.7541795,1610,646.2045288085938
1699109653.4648957,1620,700.8572998046875
1699109690.1273654,1630,588.3497924804688
1699109733.7222705,1640,588.1256713867188
1699109773.3707418,1650,598.908935546875
1699109811.8169267,1660,534.6380004882812
1699109849.6853437,1670,630.995849609375
1699109892.6152081,1680,561.3579711914062
1699109928.8320384,1690,679.1279907226562
1699109970.465255,1700,687.3375854492188
1699110011.8183963,1710,528.5909423828125
1699110051.355981,1720,661.3155517578125
1699110089.3357403,1730,556.3995361328125
1699110129.6987162,1740,664.3538818359375
1699110167.3696074,1750,677.491943359375
1699110210.977137,1760,533.9527587890625
1699110249.8959332,1770,798.235107421875
1699110296.047752,1780,546.8645629882812
1699110335.6117597,1790,665.4485473632812
1699110379.1622818,1800,801.0364990234375
1699110426.7610354,1810,759.1216430664062
1699110474.0292077,1820,524.5504150390625
1699110514.0268116,1830,568.2764282226562
1699110561.3780086,1840,641.081787109375
1699110599.3104892,1850,758.4033813476562
1699110641.6783464,1860,565.0283813476562
1699110686.5815096,1870,486.2893371582031
1699110729.34128,1880,638.1939086914062
1699110776.0328996,1890,685.890625
1699110816.2697473,1900,485.15057373046875
1699110857.7137833,1910,583.459228515625
1699110906.2455158,1920,729.6617431640625
1699110960.8840575,1930,611.5469360351562
1699111019.2542634,1940,766.6793823242188
1699111066.6206915,1950,554.9073486328125
1699111107.6017268,1960,514.358154296875
1699111157.744517,1970,531.9207763671875
1699111210.7168908,1980,646.8006591796875
1699111260.896842,1990,839.2294311523438
1699111307.7088864,2000,920.5161743164062
1699111356.6776226,2010,897.9252319335938
1699111417.897046,2020,627.7958984375
1699111482.0391324,2030,697.7022705078125
1699111538.4531438,2040,575.5941772460938
1699111594.541361,2050,541.8321533203125
1699111648.043822,2060,827.4884033203125
1699111695.694231,2070,699.9021606445312
1699111745.2015707,2080,967.3477783203125
1699111821.8915236,2090,784.6266479492188
1699111884.8630838,2100,1059.4281005859375
1699111962.6161263,2110,1412.4517822265625
1699112026.2728493,2120,1093.6630859375
1699112110.0710573,2130,3059.273193359375
1699112190.5480604,2140,833.7605590820312
1699112263.8129387,2150,1533.3681640625
1699112360.5698469,2160,1246.83251953125
1699112452.3178506,2170,1210.9384765625
1699112543.6442049,2180,1629.283935546875
1699112646.5812173,2190,2097.83544921875
1699112745.5363598,2200,2357.96630859375
1699112855.0695574,2210,815.1704711914062
1699112968.2173529,2220,3405.789306640625
1699113115.0795367,2230,2267.332763671875
1699113286.3291898,2240,1854.47119140625
1699113384.2103908,2250,1745.8291015625
1699113527.1606088,2260,2853.2490234375
1699113826.616585,2270,4818.84130859375
1699114055.801754,2280,4184.869140625
1699114281.0257547,2290,2683.917236328125
1699114467.950183,2300,2071.688232421875
1699114702.2512355,2310,3910.039306640625
1699114898.9498327,2320,4051.614990234375
1699115172.745561,2330,1936.4296875
1699115358.3789542,2340,5162.12939453125
1699115612.1564028,2350,4195.822265625
1699115925.1782136,2360,4844.6796875
1699116210.2553334,2370,4901.7529296875
1699116492.6328819,2380,4050.592041015625
1699116808.3417861,2390,3636.177490234375
1699117128.2718248,2400,3403.598876953125
1699117528.447353,2410,3449.390625
1699118155.469982,2420,3450.66845703125
1699118542.1188626,2430,5281.64892578125
1699118770.2765737,2440,3871.474853515625
1699119150.928059,2450,5234.78857421875
1699119552.017946,2460,4889.41259765625
1699119933.3291671,2470,4945.9130859375
1699120334.8087745,2480,5027.53466796875
1699120773.4587426,2490,4136.5947265625
1699121185.23509,2500,3214.0126953125
1699121549.9661827,2510,3996.11572265625
1699121963.387576,2520,4898.6376953125
1699122349.4992347,2530,5322.53857421875
1699122797.9761996,2540,2930.791748046875
1699123280.4737241,2550,2580.745361328125
1699123760.7359343,2560,5207.265625
1699124249.0983179,2570,4890.6279296875
1699124677.389473,2580,3173.7529296875
1699125121.5197623,2590,4984.19580078125
1699125594.3506536,2600,3186.100341796875
1699126082.147093,2610,5307.9306640625
1699126620.4234025,2620,5347.1748046875
1699127171.5068676,2630,4389.53857421875
1699127681.6748312,2640,4848.373046875
1699128219.4735324,2650,5429.06201171875
1699128760.1144657,2660,4877.9130859375
1699129355.4005504,2670,5380.3369140625
1699129879.1844416,2680,4918.646484375
1699130356.6872396,2690,5373.00244140625
1699130832.647124,2700,5393.8046875
1699131257.1053178,2710,5046.267578125
1699131745.6097562,2720,5424.265625
1699132240.420703,2730,4962.978515625
1699132742.7353106,2740,5326.697265625
1699133256.313337,2750,5389.921875
1699133776.6387718,2760,5302.6669921875
1699134251.9833977,2770,4485.17431640625
1699134782.057164,2780,3939.490966796875
1699135319.7742708,2790,5000.619140625
1699135855.2015457,2800,5116.8212890625
1699136410.341817,2810,5420.81005859375
1699136937.9558542,2820,5188.86669921875
1699137493.8173323,2830,4919.8427734375
1699138007.564225,2840,3398.0126953125
1699138563.4892213,2850,2906.26904296875
1699139150.26243,2860,5190.03125
1699139745.7014418,2870,5380.40234375
1699140314.883043,2880,4720.12646484375
1699140939.331592,2890,5218.12451171875
1699141478.2126749,2900,3271.83447265625
1699142110.3315694,2910,5292.27685546875
1699142721.4828403,2920,5371.140625
1699143366.1295416,2930,4039.112548828125
1699144024.6332412,2940,5400.87109375
1699144617.4700713,2950,2293.556884765625
1699145286.1828585,2960,4874.2626953125
1699145957.661196,2970,4494.4365234375
1699146710.6510935,2980,4289.9970703125
1699147854.3271103,2990,5296.96533203125
1699148993.2474303,3000,5320.23095703125
1699150221.069433,3010,4641.90283203125
1699151328.877829,3020,3938.465087890625
1699152208.0426576,3030,3023.953857421875
1699153233.4793053,3040,4453.07568359375
1699154384.754286,3050,1900.974365234375
1699155935.808917,3060,5451.03759765625
1699157465.8524137,3070,5338.310546875
1699159083.8750963,3080,5297.43408203125
1699160545.5249817,3090,5388.3017578125
1699161988.3372717,3100,5296.2451171875
1699163336.864735,3110,5332.65087890625
1699164321.0579455,3120,5361.8525390625
